Latitude,Longtitude,State,LGA,Population,Number of households,Number of households offgrid,Number of people owning mobile phones,Number of households owning radios,Number of ABC1 consumers,Median annual household spending per capita,"Number of households spending over 110,000 N annually per capita","Number of households spending over 5,000 N monthly on energy","Number of households spending over 10,000 N monthly on energy","Number of households spending over 250,000 N annually on discretionary expenses",Number of households with generators,Number of households with televisions,Proportion of households offgrid,Proportion of people owning mobile phones,Proportion of households owning radios,Proportion of ABC1 consumers,"Proportion of households spending over 110,000 N annually per capita","Proportion of households spending over 5,000 N monthly on energy","Proportion of households spending over 10,000 N monthly on energy","Proportion of households spending over 250,000 N annually on discretionary expenses",Proportion of households with generators,Proportion of households with televisions
6.445833333,3.479166667,Lagos,Eti Osa,"  13,051 ","  2,938 ",  63 ,"  12,510 ","  2,077 ","  8,561 ","  361,335 ","  2,706 ","  1,308 ",  933 ,"  2,619 ","  1,754 ","  2,521 ",2%,96%,71%,66%,92%,45%,32%,89%,60%,86%
6.495833333,3.620833334,Lagos,Eti Osa,"  1,780 ",  401 ,  18 ,"  1,733 ",  245 ,  854 ,"  202,307 ",  365 ,  286 ,  105 ,  350 ,  350 ,  351 ,5%,97%,61%,48%,91%,71%,26%,87%,87%,88%
6.429166666,3.445833334,Lagos,Eti Osa,"  12,700 ","  2,856 ",  69 ,"  12,013 ","  2,053 ","  8,055 ","  353,221 ","  2,650 ","  1,562 ",  544 ,"  2,572 ","  1,778 ","  2,478 ",2%,95%,72%,63%,93%,55%,19%,90%,62%,87%
6.454166666,3.529166667,Lagos,Eti Osa,"  6,645 ","  1,494 ",  69 ,"  6,306 ","  1,012 ","  3,963 ","  233,254 ","  1,383 ",  955 ,  545 ,"  1,312 ","  1,033 ","  1,121 ",5%,95%,68%,60%,93%,64%,36%,88%,69%,75%
6.429166666,3.629166667,Lagos,Eti Osa,  168 ,  38 ,  15 ,  158 ,  21 ,  57 ,"  122,957 ",  23 ,  15 ,  5 ,  24 ,  24 ,  23 ,39%,94%,56%,34%,61%,39%,12%,63%,63%,61%
6.437499999,3.479166667,Lagos,Eti Osa,"  13,052 ","  2,933 ",  46 ,"  12,742 ","  2,040 ","  8,968 ","  356,758 ","  2,714 ","  1,402 ","  1,008 ","  2,414 ","  1,757 ","  2,551 ",2%,98%,70%,69%,93%,48%,34%,82%,60%,87%
6.454166666,3.545833334,Lagos,Eti Osa,  953 ,  214 ,  6 ,  925 ,  148 ,  585 ,"  206,580 ",  195 ,  126 ,  61 ,  185 ,  149 ,  182 ,3%,97%,69%,61%,91%,59%,28%,86%,70%,85%
6.445833333,3.470833334,Lagos,Eti Osa,"  12,441 ","  2,795 ",  77 ,"  11,876 ","  2,012 ","  8,493 ","  341,796 ","  2,645 ","  1,235 ",  765 ,"  2,519 ","  1,788 ","  2,556 ",3%,95%,72%,68%,95%,44%,27%,90%,64%,91%
6.437499999,3.495833334,Lagos,Eti Osa,"  4,223 ",  948 ,  10 ,"  4,120 ",  651 ,"  2,926 ","  374,492 ",  869 ,  468 ,  344 ,  792 ,  663 ,  827 ,1%,98%,69%,69%,92%,49%,36%,84%,70%,87%
6.429166666,3.470833334,Lagos,Eti Osa,"  4,518 ","  1,014 ",  36 ,"  4,378 ",  700 ,"  2,897 ","  317,139 ",  942 ,  563 ,  361 ,  784 ,  602 ,  869 ,4%,97%,69%,64%,93%,56%,36%,77%,59%,86%
6.429166666,3.4375,Lagos,Eti Osa,"  21,900 ","  4,913 ",  141 ,"  20,508 ","  3,588 ","  13,602 ","  352,930 ","  4,535 ","  2,299 ",  836 ,"  4,493 ","  3,185 ","  4,132 ",3%,94%,73%,62%,92%,47%,17%,91%,65%,84%
6.445833333,3.5375,Lagos,Eti Osa,"  2,836 ",  636 ,  29 ,"  2,769 ",  425 ,"  1,743 ","  297,337 ",  560 ,  380 ,  180 ,  498 ,  478 ,  524 ,5%,98%,67%,61%,88%,60%,28%,78%,75%,82%
6.454166666,3.520833334,Lagos,Eti Osa,"  9,428 ","  2,113 ",  48 ,"  8,996 ","  1,457 ","  5,841 ","  241,592 ","  1,990 ","  1,330 ",  773 ,"  1,912 ","  1,408 ","  1,548 ",2%,95%,69%,62%,94%,63%,37%,90%,67%,73%
6.462499999,3.545833334,Lagos,Eti Osa,"  10,856 ","  2,431 ",  144 ,"  10,161 ","  1,674 ","  6,797 ","  232,485 ","  2,297 ","  1,473 ","  1,125 ","  2,248 ","  1,616 ","  2,082 ",6%,94%,69%,63%,94%,61%,46%,92%,66%,86%
6.437499999,3.4625,Lagos,Eti Osa,"  13,729 ","  3,072 ",  118 ,"  13,204 ","  2,229 ","  9,434 ","  352,212 ","  2,915 ","  1,642 ",  844 ,"  2,703 ","  2,082 ","  2,857 ",4%,96%,73%,69%,95%,53%,27%,88%,68%,93%
6.437499999,3.4875,Lagos,Eti Osa,"  9,514 ","  2,126 ",  21 ,"  9,268 ","  1,469 ","  6,526 ","  371,565 ","  1,952 ",  959 ,  732 ,"  1,780 ","  1,357 ","  1,840 ",1%,97%,69%,69%,92%,45%,34%,84%,64%,87%
6.429166666,3.429166667,Lagos,Eti Osa,"  24,818 ","  5,544 ",  242 ,"  22,760 ","  4,094 ","  15,460 ","  347,778 ","  4,880 ","  2,446 ","  1,195 ","  5,081 ","  3,487 ","  4,359 ",4%,92%,74%,62%,88%,44%,22%,92%,63%,79%
6.487499999,3.620833334,Lagos,Eti Osa,  7 ,  2 ,  0 ,  7 ,  1 ,  4 ,"  199,079 ",  1 ,  1 ,  0 ,  1 ,  1 ,  1 ,4%,98%,63%,54%,88%,65%,25%,88%,81%,85%
6.462499999,3.520833334,Lagos,Eti Osa,"  3,018 ",  674 ,  18 ,"  2,871 ",  465 ,"  1,610 ","  226,817 ",  634 ,  404 ,  251 ,  631 ,  454 ,  459 ,3%,95%,69%,53%,94%,60%,37%,94%,67%,68%
6.429166666,3.420833334,Lagos,Eti Osa,"  29,779 ","  6,635 ",  248 ,"  27,492 ","  4,889 ","  18,167 ","  341,725 ","  5,738 ","  3,224 ","  2,603 ","  5,928 ","  4,064 ","  5,284 ",4%,92%,74%,61%,86%,49%,39%,89%,61%,80%
6.429166666,3.479166667,Lagos,Eti Osa,"  5,862 ","  1,306 ",  41 ,"  5,688 ",  882 ,"  3,846 ","  314,098 ","  1,186 ",  675 ,  450 ,  972 ,  744 ,"  1,099 ",3%,97%,68%,66%,91%,52%,34%,74%,57%,84%
6.429166666,3.554166667,Lagos,Eti Osa,"  3,516 ",  783 ,  52 ,"  3,390 ",  507 ,"  1,956 ","  176,260 ",  590 ,  448 ,  115 ,  560 ,  549 ,  614 ,7%,96%,65%,56%,75%,57%,15%,72%,70%,78%
6.454166666,3.5125,Lagos,Eti Osa,"  1,849 ",  411 ,  19 ,"  1,721 ",  288 ,"  1,088 ","  227,268 ",  381 ,  239 ,  149 ,  357 ,  269 ,  331 ,5%,93%,70%,59%,93%,58%,36%,87%,65%,80%
6.429166666,3.4125,Lagos,Eti Osa,"  25,043 ","  5,566 ",  326 ,"  23,428 ","  4,080 ","  14,664 ","  331,003 ","  4,876 ","  2,236 ","  2,590 ","  4,962 ","  3,230 ","  4,067 ",6%,94%,73%,59%,88%,40%,47%,89%,58%,73%
6.437499999,3.4125,Lagos,Eti Osa,"  15,237 ","  3,386 ",  131 ,"  14,105 ","  2,500 ","  8,782 ","  328,395 ","  3,087 ","  1,302 ","  1,084 ","  3,119 ","  1,954 ","  2,306 ",4%,93%,74%,58%,91%,38%,32%,92%,58%,68%
6.437499999,3.404166667,Lagos,Eti Osa,"  7,725 ","  1,716 ",  83 ,"  7,189 ","  1,263 ","  3,955 ","  326,164 ","  1,593 ",  545 ,  504 ,"  1,599 ",  959 ,"  1,071 ",5%,93%,74%,51%,93%,32%,29%,93%,56%,62%
6.437499999,3.454166667,Lagos,Eti Osa,"  9,669 ","  2,145 ",  70 ,"  9,158 ","  1,569 ","  6,143 ","  347,377 ","  2,053 ","  1,029 ",  353 ,"  1,962 ","  1,393 ","  1,952 ",3%,95%,73%,64%,96%,48%,16%,91%,65%,91%
6.462499999,3.5125,Lagos,Eti Osa,  73 ,  16 ,  1 ,  67 ,  11 ,  37 ,"  212,750 ",  15 ,  9 ,  6 ,  14 ,  11 ,  13 ,5%,92%,70%,51%,93%,58%,36%,87%,65%,80%
6.454166666,3.470833334,Lagos,Eti Osa,"  11,628 ","  2,569 ",  107 ,"  10,785 ","  1,815 ","  7,575 ","  310,466 ","  2,447 ",  683 ,  288 ,"  2,374 ","  1,023 ","  1,538 ",4%,93%,71%,65%,95%,27%,11%,92%,40%,60%
6.454166666,3.445833334,Lagos,Eti Osa,"  20,404 ","  4,505 ",  164 ,"  18,806 ","  3,370 ","  11,949 ","  358,304 ","  4,189 ","  1,962 ",  526 ,"  4,259 ","  2,897 ","  3,913 ",4%,92%,75%,59%,93%,44%,12%,95%,64%,87%
6.437499999,3.429166667,Lagos,Eti Osa,"  19,594 ","  4,323 ",  132 ,"  18,298 ","  3,264 ","  11,917 ","  350,388 ","  4,079 ","  2,129 ",  673 ,"  4,117 ","  2,618 ","  3,521 ",3%,93%,76%,61%,94%,49%,16%,95%,61%,81%
6.429166666,3.529166667,Lagos,Eti Osa,"  1,124 ",  248 ,  9 ,"  1,082 ",  170 ,  593 ,"  221,677 ",  213 ,  143 ,  109 ,  186 ,  177 ,  204 ,4%,96%,69%,53%,86%,58%,44%,75%,71%,82%
6.445833333,3.4875,Lagos,Eti Osa,"  1,122 ",  247 ,  8 ,"  1,062 ",  172 ,  717 ,"  355,923 ",  228 ,  106 ,  88 ,  216 ,  159 ,  214 ,3%,95%,70%,64%,92%,43%,36%,87%,64%,87%
6.445833333,3.4625,Lagos,Eti Osa,"  9,822 ","  2,163 ",  97 ,"  9,172 ","  1,574 ","  6,692 ","  327,416 ","  2,056 ","  1,150 ",  569 ,"  1,940 ","  1,480 ","  2,009 ",5%,93%,73%,68%,95%,53%,26%,90%,68%,93%
6.429166666,3.545833334,Lagos,Eti Osa,  849 ,  187 ,  11 ,  819 ,  125 ,  455 ,"  182,509 ",  142 ,  99 ,  40 ,  136 ,  129 ,  136 ,6%,96%,67%,54%,76%,53%,21%,73%,69%,73%
6.454166666,3.4625,Lagos,Eti Osa,"  2,167 ",  476 ,  22 ,"  2,017 ",  347 ,"  1,291 ","  324,620 ",  470 ,  40 ,  16 ,  458 ,  52 ,  82 ,5%,93%,73%,60%,99%,8%,3%,96%,11%,17%
6.445833333,3.4125,Lagos,Eti Osa,"  23,109 ","  5,077 ",  111 ,"  21,503 ","  3,808 ","  14,026 ","  322,919 ","  4,692 ","  1,601 ",  601 ,"  4,727 ","  3,150 ","  4,047 ",2%,93%,75%,61%,92%,32%,12%,93%,62%,80%
6.445833333,3.445833334,Lagos,Eti Osa,"  21,796 ","  4,785 ",  164 ,"  20,281 ","  3,564 ","  12,842 ","  317,881 ","  4,517 ","  2,030 ",  649 ,"  4,476 ","  3,145 ","  4,167 ",3%,93%,74%,59%,94%,42%,14%,94%,66%,87%
6.454166666,3.479166667,Lagos,Eti Osa,"  13,875 ","  3,042 ",  208 ,"  12,648 ","  2,069 ","  8,366 ","  312,030 ","  2,879 ","  1,256 ","  1,054 ","  2,760 ","  1,498 ","  2,006 ",7%,91%,68%,60%,95%,41%,35%,91%,49%,66%
6.462499999,3.4375,Lagos,Eti Osa,"  17,162 ","  3,757 ",  91 ,"  15,917 ","  2,820 ","  7,514 ","  310,783 ","  3,483 ","  2,004 ",  734 ,"  3,524 ","  2,347 ","  3,158 ",2%,93%,75%,44%,93%,53%,20%,94%,62%,84%
6.454166666,3.4375,Lagos,Eti Osa,"  24,380 ","  5,337 ",  108 ,"  22,695 ","  4,007 ","  14,571 ","  313,116 ","  4,884 ","  2,959 ",  840 ,"  4,995 ","  3,620 ","  4,719 ",2%,93%,75%,60%,92%,55%,16%,94%,68%,88%
6.445833333,3.420833334,Lagos,Eti Osa,"  18,546 ","  4,060 ",  76 ,"  17,303 ","  3,064 ","  11,664 ","  267,784 ","  3,702 ","  2,058 ",  561 ,"  3,796 ","  2,619 ","  3,520 ",2%,93%,75%,63%,91%,51%,14%,94%,65%,87%
6.445833333,3.4375,Lagos,Eti Osa,"  22,623 ","  4,945 ",  77 ,"  21,263 ","  3,678 ","  15,055 ","  326,326 ","  4,530 ","  2,762 ",  778 ,"  4,618 ","  3,452 ","  4,289 ",2%,94%,74%,67%,92%,56%,16%,93%,70%,87%
6.445833333,3.454166667,Lagos,Eti Osa,"  9,157 ","  2,000 ",  90 ,"  8,428 ","  1,462 ","  5,769 ","  306,158 ","  1,941 ",  914 ,  458 ,"  1,889 ","  1,134 ","  1,520 ",5%,92%,73%,63%,97%,46%,23%,94%,57%,76%
6.445833333,3.504166667,Lagos,Eti Osa,"  4,386 ",  957 ,  24 ,"  4,136 ",  664 ,"  2,873 ","  299,925 ",  876 ,  536 ,  358 ,  805 ,  636 ,  791 ,2%,94%,69%,66%,92%,56%,37%,84%,66%,83%
6.462499999,3.429166667,Lagos,Eti Osa,"  15,471 ","  3,375 ",  297 ,"  13,950 ","  2,405 ","  6,678 ","  268,306 ","  3,200 ","  1,568 ",  831 ,"  3,184 ","  2,043 ","  2,724 ",9%,90%,71%,43%,95%,46%,25%,94%,61%,81%
6.454166666,3.429166667,Lagos,Eti Osa,"  21,764 ","  4,743 ",  142 ,"  20,270 ","  3,548 ","  12,977 ","  279,787 ","  4,335 ","  2,723 ",  756 ,"  4,414 ","  3,218 ","  4,213 ",3%,93%,75%,60%,91%,57%,16%,93%,68%,89%
6.462499999,3.445833334,Lagos,Eti Osa,"  23,945 ","  5,217 ",  464 ,"  21,506 ","  3,732 ","  10,526 ","  360,218 ","  5,043 ","  1,912 ","  1,565 ","  4,957 ","  2,339 ","  3,450 ",9%,90%,72%,44%,97%,37%,30%,95%,45%,66%
6.437499999,3.4375,Lagos,Eti Osa,"  16,109 ","  3,502 ",  69 ,"  15,108 ","  2,625 ","  10,579 ","  357,392 ","  3,347 ","  1,770 ",  674 ,"  3,286 ","  2,135 ","  2,897 ",2%,94%,75%,66%,96%,51%,19%,94%,61%,83%
6.454166666,3.420833334,Lagos,Eti Osa,"  23,179 ","  5,037 ",  64 ,"  21,724 ","  3,786 ","  14,249 ","  331,544 ","  4,637 ","  2,798 ",  722 ,"  4,683 ","  3,394 ","  4,439 ",1%,94%,75%,61%,92%,56%,14%,93%,67%,88%
6.445833333,3.429166667,Lagos,Eti Osa,"  15,337 ","  3,327 ",  61 ,"  14,366 ","  2,482 ","  9,703 ","  312,718 ","  3,026 ","  1,962 ",  515 ,"  3,129 ","  2,235 ","  2,937 ",2%,94%,75%,63%,91%,59%,15%,94%,67%,88%
6.454166666,3.4125,Lagos,Eti Osa,"  14,227 ","  3,077 ",  53 ,"  13,367 ","  2,310 ","  8,438 ","  364,499 ","  2,863 ","  1,315 ",  392 ,"  2,854 ","  1,966 ","  2,549 ",2%,94%,75%,59%,93%,43%,13%,93%,64%,83%
6.462499999,3.454166667,Lagos,Eti Osa,"  4,757 ","  1,028 ",  131 ,"  4,061 ",  716 ,"  1,992 ","  313,827 ","  1,024 ",  308 ,  569 ,  985 ,  344 ,  583 ,13%,85%,70%,42%,100%,30%,55%,96%,33%,57%
6.445833333,3.495833334,Lagos,Eti Osa,"  1,693 ",  366 ,  14 ,"  1,585 ",  254 ,"  1,089 ","  316,638 ",  336 ,  177 ,  138 ,  310 ,  243 ,  304 ,4%,94%,69%,64%,92%,48%,38%,85%,66%,83%
6.462499999,3.420833334,Lagos,Eti Osa,"  13,517 ","  2,914 ",  138 ,"  12,285 ","  2,079 ","  5,755 ","  293,953 ","  2,741 ","  1,482 ",  562 ,"  2,729 ","  1,865 ","  2,445 ",5%,91%,71%,43%,94%,51%,19%,94%,64%,84%
6.454166666,3.504166667,Lagos,Eti Osa,  257 ,  50 ,  2 ,  239 ,  35 ,  139 ,"  274,223 ",  46 ,  28 ,  19 ,  42 ,  32 ,  40 ,4%,93%,69%,54%,91%,55%,37%,84%,63%,79%
6.462499999,3.404166667,Lagos,Eti Osa,"  2,582 ",  500 ,  18 ,"  2,405 ",  370 ,  934 ,"  358,975 ",  472 ,  172 ,  165 ,  466 ,  298 ,  373 ,4%,93%,74%,36%,94%,34%,33%,93%,60%,75%
6.462499999,3.479166667,Lagos,Eti Osa,"  1,569 ",  300 ,  23 ,"  1,415 ",  202 ,  693 ,"  301,595 ",  289 ,  121 ,  114 ,  271 ,  130 ,  163 ,8%,90%,67%,44%,96%,40%,38%,90%,43%,54%
6.454166666,3.4875,Lagos,Eti Osa,"  1,382 ",  247 ,  19 ,"  1,265 ",  168 ,  750 ,"  326,065 ",  233 ,  111 ,  101 ,  224 ,  127 ,  166 ,7%,92%,68%,54%,94%,45%,41%,90%,51%,67%
6.454166666,3.495833334,Lagos,Eti Osa,  65 ,  10 ,  0 ,  61 ,  7 ,  34 ,"  310,024 ",  9 ,  5 ,  4 ,  8 ,  7 ,  8 ,4%,93%,69%,52%,92%,48%,38%,85%,66%,83%
6.454166666,3.454166667,Lagos,Eti Osa,  340 ,  50 ,  2 ,  311 ,  37 ,  176 ,"  313,588 ",  49 ,  23 ,  13 ,  48 ,  27 ,  35 ,5%,92%,73%,52%,98%,45%,26%,95%,54%,71%
6.504166666,3.754166667,Lagos,Ibeju Lekki,  1 ,  1 ,  0 ,  1 ,  1 ,  0 ,"  114,459 ",  1 ,  0 ,  0 ,  1 ,  1 ,  1 ,32%,92%,61%,23%,74%,37%,10%,64%,64%,50%
6.545833333,3.829166667,Lagos,Ibeju Lekki,  1 ,  1 ,  1 ,  1 ,  1 ,  0 ,"  116,376 ",  1 ,  0 ,  0 ,  0 ,  0 ,  0 ,54%,86%,62%,20%,63%,28%,1%,47%,43%,40%
6.529166666,3.845833334,Lagos,Ibeju Lekki,  1 ,  1 ,  0 ,  1 ,  1 ,  0 ,"  115,119 ",  1 ,  0 ,  0 ,  0 ,  0 ,  0 ,32%,88%,65%,12%,61%,29%,1%,49%,49%,41%
6.529166666,3.870833334,Lagos,Ibeju Lekki,  1 ,  1 ,  0 ,  1 ,  1 ,  0 ,"  116,757 ",  1 ,  0 ,  0 ,  0 ,  0 ,  0 ,28%,80%,65%,14%,60%,31%,1%,47%,49%,48%
6.487499999,3.720833334,Lagos,Ibeju Lekki,  844 ,  722 ,  104 ,  820 ,  459 ,  280 ,"  160,015 ",  613 ,  334 ,  92 ,  574 ,  512 ,  483 ,14%,97%,64%,33%,85%,46%,13%,80%,71%,67%
6.429166666,3.9625,Lagos,Ibeju Lekki,  253 ,  146 ,  31 ,  240 ,  93 ,  67 ,"  126,158 ",  94 ,  51 ,  6 ,  80 ,  92 ,  71 ,21%,95%,63%,26%,64%,35%,4%,55%,63%,49%
6.462499999,4.0375,Lagos,Ibeju Lekki,  2 ,  1 ,  0 ,  2 ,  1 ,  0 ,"  127,668 ",  1 ,  0 ,  0 ,  1 ,  1 ,  1 ,38%,88%,57%,25%,58%,38%,25%,55%,58%,50%
6.454166666,3.854166667,Lagos,Ibeju Lekki,  2 ,  1 ,  0 ,  2 ,  1 ,  0 ,"  114,923 ",  1 ,  0 ,  0 ,  1 ,  1 ,  1 ,25%,95%,61%,22%,62%,37%,6%,55%,59%,51%
6.512499999,3.879166667,Lagos,Ibeju Lekki,  2 ,  1 ,  0 ,  2 ,  1 ,  0 ,"  113,984 ",  1 ,  0 ,  0 ,  0 ,  0 ,  1 ,38%,87%,63%,16%,70%,28%,2%,48%,40%,55%
6.545833333,3.879166667,Lagos,Ibeju Lekki,  2 ,  1 ,  0 ,  2 ,  1 ,  0 ,"  114,971 ",  1 ,  0 ,  0 ,  0 ,  0 ,  0 ,25%,88%,62%,12%,64%,29%,1%,47%,50%,41%
6.420833333,4.1125,Lagos,Ibeju Lekki,  2 ,  1 ,  0 ,  2 ,  1 ,  0 ,"  113,607 ",  1 ,  0 ,  0 ,  1 ,  1 ,  0 ,39%,89%,63%,20%,65%,32%,12%,57%,51%,46%
6.495833333,3.895833334,Lagos,Ibeju Lekki,  2 ,  1 ,  0 ,  2 ,  1 ,  0 ,"  125,373 ",  1 ,  0 ,  0 ,  1 ,  1 ,  1 ,31%,94%,60%,22%,77%,30%,7%,53%,65%,58%
6.554166666,3.870833334,Lagos,Ibeju Lekki,  3 ,  1 ,  0 ,  3 ,  1 ,  0 ,"  118,930 ",  1 ,  0 ,  0 ,  0 ,  0 ,  0 ,37%,89%,62%,13%,67%,30%,1%,47%,48%,47%
6.529166666,3.8125,Lagos,Ibeju Lekki,  3 ,  1 ,  0 ,  3 ,  1 ,  1 ,"  114,714 ",  1 ,  0 ,  0 ,  0 ,  0 ,  0 ,50%,86%,60%,20%,63%,25%,1%,46%,37%,36%
6.495833333,3.879166667,Lagos,Ibeju Lekki,  3 ,  1 ,  0 ,  3 ,  1 ,  1 ,"  128,043 ",  1 ,  0 ,  0 ,  1 ,  1 ,  1 ,21%,92%,63%,23%,78%,31%,4%,51%,66%,55%
6.495833333,3.8875,Lagos,Ibeju Lekki,  3 ,  1 ,  0 ,  3 ,  1 ,  1 ,"  128,498 ",  1 ,  0 ,  0 ,  1 ,  1 ,  1 ,23%,94%,61%,23%,79%,32%,6%,53%,67%,60%
6.512499999,3.8125,Lagos,Ibeju Lekki,  18 ,  5 ,  3 ,  15 ,  3 ,  3 ,"  111,145 ",  3 ,  1 ,  0 ,  2 ,  2 ,  2 ,62%,85%,62%,18%,66%,27%,2%,46%,43%,39%
6.512499999,3.795833334,Lagos,Ibeju Lekki,  93 ,  25 ,  12 ,  80 ,  15 ,  16 ,"  112,483 ",  17 ,  7 ,  0 ,  12 ,  12 ,  10 ,49%,86%,61%,17%,68%,28%,2%,50%,50%,40%
6.520833333,3.8125,Lagos,Ibeju Lekki,  61 ,  16 ,  10 ,  52 ,  10 ,  12 ,"  113,083 ",  10 ,  4 ,  0 ,  8 ,  8 ,  6 ,61%,85%,61%,19%,62%,26%,2%,47%,47%,36%
6.529166666,3.820833334,Lagos,Ibeju Lekki,  17 ,  4 ,  2 ,  15 ,  3 ,  3 ,"  116,945 ",  3 ,  1 ,  0 ,  2 ,  2 ,  2 ,47%,86%,60%,18%,62%,26%,1%,45%,36%,35%
6.512499999,3.845833334,Lagos,Ibeju Lekki,  16 ,  4 ,  2 ,  14 ,  3 ,  3 ,"  112,538 ",  3 ,  1 ,  0 ,  2 ,  2 ,  2 ,40%,89%,64%,16%,64%,27%,1%,50%,46%,44%
6.512499999,3.7875,Lagos,Ibeju Lekki,  50 ,  13 ,  8 ,  43 ,  8 ,  9 ,"  110,782 ",  9 ,  4 ,  0 ,  7 ,  7 ,  6 ,63%,86%,61%,19%,71%,29%,2%,53%,55%,45%
6.512499999,3.8375,Lagos,Ibeju Lekki,  8 ,  2 ,  1 ,  7 ,  1 ,  1 ,"  113,314 ",  1 ,  1 ,  0 ,  1 ,  1 ,  1 ,38%,87%,63%,16%,67%,31%,1%,50%,47%,40%
6.520833333,3.845833334,Lagos,Ibeju Lekki,  22 ,  6 ,  2 ,  19 ,  4 ,  3 ,"  112,687 ",  4 ,  2 ,  0 ,  3 ,  3 ,  2 ,38%,87%,65%,14%,62%,28%,1%,49%,50%,43%
6.520833333,3.820833334,Lagos,Ibeju Lekki,  42 ,  11 ,  5 ,  36 ,  7 ,  8 ,"  113,420 ",  7 ,  3 ,  0 ,  5 ,  5 ,  4 ,46%,85%,62%,19%,61%,27%,2%,47%,47%,34%
6.537499999,3.8375,Lagos,Ibeju Lekki,  44 ,  11 ,  4 ,  39 ,  7 ,  6 ,"  113,028 ",  7 ,  3 ,  0 ,  5 ,  6 ,  5 ,39%,88%,64%,13%,63%,31%,1%,47%,49%,40%
6.545833333,3.8375,Lagos,Ibeju Lekki,  44 ,  11 ,  5 ,  38 ,  7 ,  8 ,"  114,116 ",  7 ,  3 ,  0 ,  5 ,  5 ,  4 ,44%,87%,64%,18%,64%,28%,1%,48%,45%,40%
6.520833333,3.8375,Lagos,Ibeju Lekki,  159 ,  40 ,  14 ,  135 ,  26 ,  24 ,"  111,464 ",  26 ,  12 ,  0 ,  20 ,  20 ,  14 ,35%,85%,64%,15%,63%,29%,1%,49%,49%,35%
6.495833333,3.804166667,Lagos,Ibeju Lekki,  26 ,  7 ,  2 ,  24 ,  4 ,  4 ,"  126,108 ",  5 ,  2 ,  0 ,  4 ,  4 ,  3 ,26%,91%,59%,16%,79%,36%,2%,55%,62%,52%
6.487499999,3.804166667,Lagos,Ibeju Lekki,"  1,987 ",  504 ,  59 ,"  1,843 ",  314 ,  395 ,"  152,905 ",  427 ,  209 ,  13 ,  346 ,  366 ,  320 ,12%,93%,62%,20%,85%,41%,2%,69%,73%,63%
6.512499999,3.829166667,Lagos,Ibeju Lekki,  7 ,  2 ,  1 ,  6 ,  1 ,  1 ,"  111,447 ",  1 ,  1 ,  0 ,  1 ,  1 ,  1 ,47%,84%,62%,18%,64%,31%,1%,48%,38%,36%
6.529166666,3.904166667,Lagos,Ibeju Lekki,  16 ,  4 ,  0 ,  15 ,  3 ,  3 ,"  117,966 ",  2 ,  1 ,  0 ,  2 ,  2 ,  2 ,12%,92%,64%,22%,61%,28%,1%,48%,51%,46%
6.487499999,3.8875,Lagos,Ibeju Lekki,"  1,280 ",  324 ,  43 ,"  1,217 ",  205 ,  323 ,"  138,312 ",  268 ,  123 ,  8 ,  194 ,  243 ,  198 ,13%,95%,63%,25%,83%,38%,2%,60%,75%,61%
6.487499999,3.9125,Lagos,Ibeju Lekki,  77 ,  20 ,  8 ,  70 ,  11 ,  14 ,"  112,411 ",  13 ,  6 ,  2 ,  10 ,  12 ,  10 ,41%,91%,58%,18%,69%,29%,10%,52%,60%,50%
6.479166666,3.8125,Lagos,Ibeju Lekki,"  2,171 ",  550 ,  52 ,"  2,065 ",  369 ,  530 ,"  168,403 ",  478 ,  262 ,  21 ,  397 ,  449 ,  383 ,10%,95%,67%,24%,87%,48%,4%,72%,82%,70%
6.529166666,3.8375,Lagos,Ibeju Lekki,  7 ,  2 ,  1 ,  6 ,  1 ,  1 ,"  112,038 ",  1 ,  1 ,  0 ,  1 ,  1 ,  1 ,32%,86%,64%,12%,64%,29%,1%,48%,47%,37%
6.487499999,3.795833334,Lagos,Ibeju Lekki,  338 ,  86 ,  10 ,  314 ,  53 ,  69 ,"  137,404 ",  70 ,  34 ,  2 ,  55 ,  60 ,  50 ,11%,93%,62%,20%,82%,39%,2%,64%,70%,58%
6.495833333,3.8125,Lagos,Ibeju Lekki,  105 ,  27 ,  8 ,  95 ,  16 ,  17 ,"  116,906 ",  21 ,  9 ,  1 ,  14 ,  15 ,  13 ,32%,90%,59%,17%,77%,35%,2%,53%,56%,49%
6.487499999,3.8125,Lagos,Ibeju Lekki,  739 ,  186 ,  28 ,  688 ,  118 ,  157 ,"  143,229 ",  158 ,  71 ,  4 ,  125 ,  129 ,  112 ,15%,93%,63%,21%,85%,38%,2%,67%,69%,60%
6.487499999,3.904166667,Lagos,Ibeju Lekki,  194 ,  49 ,  19 ,  181 ,  29 ,  41 ,"  119,943 ",  37 ,  16 ,  4 ,  26 ,  32 ,  26 ,38%,93%,59%,21%,76%,32%,8%,54%,66%,54%
6.479166666,3.804166667,Lagos,Ibeju Lekki,"  2,700 ",  679 ,  85 ,"  2,544 ",  450 ,  662 ,"  175,708 ",  579 ,  343 ,  29 ,  496 ,  549 ,  489 ,12%,94%,66%,25%,85%,51%,4%,73%,81%,72%
6.545833333,3.845833334,Lagos,Ibeju Lekki,  22 ,  6 ,  2 ,  19 ,  4 ,  4 ,"  115,715 ",  3 ,  2 ,  0 ,  3 ,  3 ,  2 ,40%,88%,65%,18%,62%,30%,1%,49%,48%,41%
