Latitude,Longtitude,State,LGA,Population,Number of households,Number of households offgrid,Number of people owning mobile phones,Number of households owning radios,Number of ABC1 consumers,Median annual household spending per capita,"Number of households spending over 110,000 N annually per capita","Number of households spending over 5,000 N monthly on energy","Number of households spending over 10,000 N monthly on energy","Number of households spending over 250,000 N annually on discretionary expenses",Number of households with generators,Number of households with televisions,Proportion of households offgrid,Proportion of people owning mobile phones,Proportion of households owning radios,Proportion of ABC1 consumers,"Proportion of households spending over 110,000 N annually per capita","Proportion of households spending over 5,000 N monthly on energy","Proportion of households spending over 10,000 N monthly on energy","Proportion of households spending over 250,000 N annually on discretionary expenses",Proportion of households with generators,Proportion of households with televisions
6.412499999,2.895833334,Lagos,Badagry,"  5,479 ","  1,248 ",  234 ,"  5,105 ",  811 ,"  2,233 ","  165,773 ",  831 ,  759 ,  58 ,  956 ,  928 ,"  1,031 ",19%,93%,65%,41%,67%,61%,5%,77%,74%,83%
6.420833333,3.029166667,Lagos,Badagry,  40 ,  9 ,  1 ,  37 ,  6 ,  12 ,"  111,370 ",  6 ,  4 ,  1 ,  6 ,  6 ,  6 ,15%,94%,62%,29%,70%,44%,6%,63%,68%,71%
6.429166666,2.829166667,Lagos,Badagry,  526 ,  120 ,  14 ,  503 ,  75 ,  164 ,"  157,434 ",  80 ,  50 ,  8 ,  77 ,  74 ,  78 ,12%,96%,63%,31%,67%,42%,7%,64%,62%,65%
6.420833333,2.720833334,Lagos,Badagry,  240 ,  55 ,  7 ,  231 ,  37 ,  81 ,"  140,643 ",  33 ,  24 ,  0 ,  35 ,  40 ,  38 ,13%,96%,68%,34%,61%,45%,1%,65%,73%,70%
6.429166666,2.7875,Lagos,Badagry,  191 ,  43 ,  5 ,  182 ,  26 ,  43 ,"  137,863 ",  31 ,  14 ,  2 ,  25 ,  29 ,  28 ,11%,95%,61%,22%,71%,32%,4%,58%,66%,65%
6.412499999,2.804166667,Lagos,Badagry,  101 ,  23 ,  6 ,  94 ,  14 ,  28 ,"  129,301 ",  14 ,  10 ,  1 ,  13 ,  14 ,  15 ,27%,93%,62%,28%,63%,43%,4%,58%,61%,64%
6.412499999,3.0875,Lagos,Badagry,  139 ,  32 ,  9 ,  95 ,  18 ,  34 ,"  128,560 ",  20 ,  15 ,  7 ,  20 ,  20 ,  22 ,29%,68%,56%,24%,64%,46%,21%,62%,64%,69%
6.462499999,3.045833334,Lagos,Badagry,  631 ,  143 ,  11 ,  613 ,  92 ,  269 ,"  154,644 ",  105 ,  69 ,  4 ,  115 ,  117 ,  112 ,7%,97%,64%,43%,73%,48%,3%,80%,82%,78%
6.412499999,3.029166667,Lagos,Badagry,  48 ,  11 ,  1 ,  45 ,  7 ,  15 ,"  112,271 ",  8 ,  5 ,  1 ,  8 ,  7 ,  8 ,12%,94%,62%,32%,77%,45%,12%,69%,65%,70%
6.420833333,2.729166667,Lagos,Badagry,  318 ,  72 ,  10 ,  306 ,  49 ,  100 ,"  145,200 ",  44 ,  35 ,  1 ,  46 ,  53 ,  52 ,14%,96%,67%,32%,61%,48%,1%,64%,73%,73%
6.495833333,3.104166667,Lagos,Badagry,  57 ,  13 ,  2 ,  54 ,  9 ,  31 ,"  202,519 ",  11 ,  6 ,  2 ,  10 ,  9 ,  10 ,13%,95%,66%,55%,87%,47%,17%,80%,66%,80%
