Date,Price,Open,High,Low,Vol.,Change %
01/07/2016,"4,003.11","4,003.11","4,003.11","4,003.11",,-0.14%
01/06/2016,"4,008.53","4,008.53","4,008.53","4,008.53",,0.85%
01/05/2016,"3,974.58","3,974.58","3,974.58","3,974.58",,-0.81%
01/04/2016,"4,007.00","4,007.00","4,007.00","4,007.00",,-0.84%
12/31/2015,"4,040.75","4,040.75","4,040.75","4,040.75",,1.21%
12/30/2015,"3,992.57","3,992.57","3,992.57","3,992.57",,-0.31%
12/29/2015,"4,004.91","4,004.91","4,004.91","4,004.91",,0.61%
12/28/2015,"3,980.57","3,980.57","3,980.57","3,980.57",,0.63%
12/24/2015,"3,955.73","3,955.73","3,955.73","3,955.73",,0.94%
12/23/2015,"3,918.75","3,918.75","3,918.75","3,918.75",,-0.91%
12/22/2015,"3,954.54","3,954.54","3,954.54","3,954.54",,-1.35%
12/21/2015,"4,008.63","4,008.63","4,008.63","4,008.63",,0.47%
12/18/2015,"3,989.95","3,989.95","3,989.95","3,989.95",,-0.38%
12/17/2015,"4,005.22","4,005.22","4,005.22","4,005.22",,-0.16%
12/16/2015,"4,011.66","4,011.66","4,011.66","4,011.66",,0.60%
12/15/2015,"3,987.57","3,987.57","3,987.57","3,987.57",,0.49%
12/14/2015,"3,968.20","3,968.20","3,968.20","3,968.20",,-0.67%
12/11/2015,"3,995.09","3,995.09","3,995.09","3,995.09",,0.22%
12/10/2015,"3,986.28","3,986.28","3,986.28","3,986.28",,-0.41%
12/09/2015,"4,002.63","4,002.63","4,002.63","4,002.63",,0.19%
12/08/2015,"3,994.88","3,994.88","3,994.88","3,994.88",,0.12%
12/07/2015,"3,990.02","3,990.02","3,990.02","3,990.02",,-0.02%
12/04/2015,"3,990.64","3,990.64","3,990.64","3,990.64",,-0.10%
12/03/2015,"3,994.49","3,994.49","3,994.49","3,994.49",,0.12%
12/02/2015,"3,989.87","3,989.87","3,989.87","3,989.87",,0.29%
12/01/2015,"3,978.17","3,978.17","3,978.17","3,978.17",,-0.95%
11/30/2015,"4,016.18","4,016.18","4,016.18","4,016.18",,0.54%
11/27/2015,"3,994.56","3,994.56","3,994.56","3,994.56",,-1.24%
11/25/2015,"4,044.72","4,044.72","4,044.72","4,044.72",,0.60%
11/24/2015,"4,020.55","4,020.55","4,020.55","4,020.55",,-0.01%
11/23/2015,"4,021.14","4,021.14","4,021.14","4,021.14",,0.72%
11/20/2015,"3,992.58","3,992.58","3,992.58","3,992.58",,0.54%
11/19/2015,"3,971.30","3,971.30","3,971.30","3,971.30",,0.62%
11/18/2015,"3,946.99","3,946.99","3,946.99","3,946.99",,-0.10%
11/17/2015,"3,950.97","3,950.97","3,950.97","3,950.97",,0.57%
11/16/2015,"3,928.72","3,928.72","3,928.72","3,928.72",,0.28%
11/13/2015,"3,917.64","3,917.64","3,917.64","3,917.64",,0.03%
11/12/2015,"3,916.62","3,916.62","3,916.62","3,916.62",,-0.06%
11/11/2015,"3,919.10","3,919.10","3,919.10","3,919.10",,0.81%
11/10/2015,"3,887.53","3,887.53","3,887.53","3,887.53",,-0.14%
11/09/2015,"3,892.84","3,892.84","3,892.84","3,892.84",,0.52%
11/06/2015,"3,872.57","3,872.57","3,872.57","3,872.57",,0.12%
11/05/2015,"3,868.09","3,868.09","3,868.09","3,868.09",,0.99%
11/04/2015,"3,830.15","3,830.15","3,830.15","3,830.15",,0.01%
11/03/2015,"3,829.91","3,829.91","3,829.91","3,829.91",,-0.70%
11/02/2015,"3,856.75","3,856.75","3,856.75","3,856.75",,-0.31%
10/30/2015,"3,868.83","3,868.83","3,868.83","3,868.83",,-0.39%
10/29/2015,"3,884.13","3,884.13","3,884.13","3,884.13",,-0.56%
10/28/2015,"3,905.88","3,905.88","3,905.88","3,905.88",,-0.19%
10/27/2015,"3,913.51","3,913.51","3,913.51","3,913.51",,-0.59%
10/26/2015,"3,936.60","3,936.60","3,936.60","3,936.60",,-0.41%
10/23/2015,"3,952.97","3,952.97","3,952.97","3,952.97",,0.43%
10/22/2015,"3,935.88","3,935.88","3,935.88","3,935.88",,0.68%
10/21/2015,"3,909.27","3,909.27","3,909.27","3,909.27",,-0.54%
10/19/2015,"3,930.32","3,930.32","3,930.32","3,930.32",,0.75%
10/16/2015,"3,901.13","3,901.13","3,901.13","3,901.13",,0.85%
10/15/2015,"3,868.18","3,868.18","3,868.18","3,868.18",,-0.20%
10/14/2015,"3,875.84","3,875.84","3,875.84","3,875.84",,-2.59%
10/13/2015,"3,978.70","3,978.70","3,978.70","3,978.70",,-0.32%
10/12/2015,"3,991.49","3,991.49","3,991.49","3,991.49",,-0.64%
10/09/2015,"4,017.34","4,017.34","4,017.34","4,017.34",,-0.59%
10/08/2015,"4,041.35","4,041.35","4,041.35","4,041.35",,-0.74%
10/07/2015,"4,071.56","4,071.56","4,071.56","4,071.56",,0.18%
10/06/2015,"4,064.16","4,064.16","4,064.16","4,064.16",,-0.49%
10/05/2015,"4,084.36","4,084.36","4,084.36","4,084.36",,-0.61%
10/02/2015,"4,109.60","4,109.60","4,109.60","4,109.60",,-1.05%
10/01/2015,"4,153.00","4,153.00","4,153.00","4,153.00",,-0.49%
09/30/2015,"4,173.52","4,173.52","4,173.52","4,173.52",,-0.37%
09/29/2015,"4,189.22","4,189.22","4,189.22","4,189.22",,-0.40%
09/28/2015,"4,206.15","4,206.15","4,206.15","4,206.15",,-0.35%
09/25/2015,"4,221.10","4,221.10","4,221.10","4,221.10",,-0.03%
09/24/2015,"4,222.55","4,222.55","4,222.55","4,222.55",,0.36%
